STATE_NAME,Median_Household_Income_2018,Percent of Population Aged 60+,anycondition_prevalence,Obesity_prevalence,Heart disease_prevalence,COPD_prevalence,diabetes_prevalence,CKD_prevalence
Alabama,43479.82089552239,23.861194029850747,53.026865671641794,38.27313432835821,9.61641791044776,10.67910447761194,16.23283582089552,3.8582089552238807
Alaska,64079.0,17.985185185185188,42.403703703703705,32.048148148148144,7.448148148148148,8.188888888888888,11.97037037037037,3.1814814814814816
Arizona,49105.86666666667,26.046666666666667,45.29333333333333,32.16,9.0,8.94,13.04,3.9733333333333336
Arkansas,41801.37333333334,25.332,50.68,36.868,10.230666666666666,10.697333333333333,14.882666666666667,3.789333333333333
California,67098.6551724138,23.18448275862069,38.21896551724138,27.813793103448276,6.901724137931034,6.922413793103448,11.325862068965517,3.246551724137931
Colorado,59599.671875,25.2734375,35.1796875,25.365625,6.9765625,6.6765625,9.76875,3.1546875
Connecticut,77438.625,23.025,36.225,27.475,6.3125,6.2625,9.575,2.725
Delaware,61454.333333333336,24.933333333333334,45.199999999999996,36.0,7.666666666666667,8.166666666666666,12.866666666666667,3.3000000000000003
District of Columbia,82533.0,16.8,32.0,24.8,4.1,4.9,8.1,2.6
Florida,50621.10447761194,27.46268656716418,46.92537313432836,32.94925373134328,9.598507462686568,10.382089552238806,13.905970149253733,3.7119402985074625
Georgia,47507.08176100629,22.419496855345912,47.93396226415094,35.07798742138365,8.625786163522013,9.866666666666667,15.084905660377359,3.728930817610063
Hawaii,58512.4,25.74,37.6,24.64,7.659999999999999,6.0200000000000005,12.24,3.54
Idaho,52215.75,24.806818181818183,42.09318181818182,31.752272727272725,8.174999999999999,7.913636363636363,12.313636363636363,3.3818181818181823
Illinois,56225.82352941176,24.82843137254902,46.694117647058825,34.2313725490196,8.04313725490196,9.02156862745098,11.438235294117648,3.250980392156863
Indiana,56036.184782608696,23.028260869565216,46.79347826086956,35.31630434782608,8.095652173913043,10.084782608695651,12.916304347826086,3.1608695652173915
Iowa,57229.62626262626,26.045454545454547,44.86363636363637,35.94848484848485,7.881818181818181,7.388888888888889,10.98080808080808,3.1515151515151514
Kansas,52188.780952380956,25.91047619047619,47.354285714285716,37.42285714285715,8.315238095238096,8.286666666666667,12.735238095238095,3.3200000000000003
Kentucky,45238.51666666667,23.1425,54.3425,39.55083333333334,10.523333333333333,13.150833333333333,15.423333333333334,3.635
Louisiana,45023.65625,21.3484375,51.8390625,38.9015625,9.0953125,10.5546875,15.1078125,3.746875
Maine,51536.5,28.28125,43.20625,31.3625,8.725,8.9625,11.5375,3.35625
Maryland,75031.0,22.729166666666668,43.84166666666667,33.52916666666667,7.033333333333334,7.5,12.299999999999999,3.0583333333333336
Massachusetts,75312.78571428571,24.057142857142857,36.02142857142857,26.735714285714288,6.528571428571429,6.235714285714286,9.307142857142859,2.8214285714285716
Michigan,51601.3734939759,27.87590361445783,47.63373493975904,35.39879518072289,9.366265060240963,10.312048192771083,12.531325301204818,3.5036144578313255
Minnesota,60664.32183908046,25.51264367816092,42.00919540229885,33.46666666666667,7.397701149425288,6.224137931034483,10.452873563218391,3.094252873563218
Mississippi,39932.71951219512,22.053658536585367,54.50365853658537,40.99756097560976,9.301219512195123,10.347560975609756,16.304878048780488,3.9390243902439024
Missouri,46770.19130434783,25.14782608695652,48.60260869565217,35.42695652173913,9.109565217391303,10.609565217391303,12.953043478260868,3.4391304347826086
Montana,49370.21428571428,28.467857142857145,40.74821428571429,31.130357142857143,8.539285714285715,7.953571428571429,11.883928571428571,3.4642857142857144
Nebraska,53588.84946236559,27.933333333333334,45.321505376344085,36.49784946236559,8.133333333333333,7.590322580645161,11.397849462365592,3.28494623655914
Nevada,60823.64705882353,26.223529411764705,47.00588235294118,32.03529411764706,8.805882352941175,9.288235294117648,12.470588235294118,3.4588235294117644
New Hampshire,67052.6,26.03,40.21,29.8,7.2299999999999995,8.209999999999999,10.76,2.9
New Jersey,81475.80952380953,22.03333333333333,38.10952380952381,29.20952380952381,6.614285714285715,6.414285714285714,11.052380952380952,2.9095238095238094
New Mexico,43713.30303030303,26.554545454545455,45.481818181818184,32.65151515151515,8.663636363636362,7.963636363636364,14.442424242424241,4.00909090909091
New York,60891.82258064516,23.825806451612905,42.630645161290325,32.130645161290325,7.65483870967742,8.566129032258065,11.511290322580646,3.1177419354838714
North Carolina,48691.64,25.371,47.919,35.051,9.062999999999999,9.645,14.175,3.6919999999999997
North Dakota,58070.301886792455,27.232075471698113,46.4566037735849,35.735849056603776,8.601886792452829,7.3999999999999995,11.833962264150944,3.2943396226415094
Ohio,55374.96590909091,23.623863636363637,48.66477272727273,36.570454545454545,8.626136363636364,9.971590909090908,12.854545454545455,3.209090909090909
